,$type,title,hidden,translationSetId,language,id,created,modified,createdBy,modifiedBy,hasDynamicValueTags
49,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",cultuur,False,be59bd56-bc2d-40bd-8e2b-217c719050d7,nl,082c543a-1804-462e-e57a-08d80d405b31,2020-06-10T13:15:42.0391754+00:00,2020-07-16 10:14:36.560862400+00:00,,,False
50,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",klimaat,True,b21f7d7a-3ca9-4672-b815-1201e245b305,nl,2ce839c3-b019-4004-e57b-08d80d405b31,2020-06-10T13:15:57.8443277+00:00,2020-07-13 14:43:05.322498300+00:00,,,False
51,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",voorjaarsvakantie,True,da3b15c6-767a-4d4f-a296-012715434532,nl,06a2e06d-db42-4cd5-2eb2-08d80ddd2115,2020-06-11T07:58:00.6976045+00:00,2020-07-13 14:43:14.584445700+00:00,,,False
52,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",meivakantie,True,728c1c84-344e-42ef-807e-a22b6a630b68,nl,863e2cc8-491b-40de-2eb3-08d80ddd2115,2020-06-11T07:58:09.866352+00:00,2020-07-13 14:43:22.307839400+00:00,,,False
53,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",zomervakantie,True,72d4aab7-7373-466e-8aa0-44656e089b91,nl,e69f95c0-31e8-4f32-2eb4-08d80ddd2115,2020-06-11T07:58:21.4758874+00:00,2020-07-16 13:45:07.010581+00:00,,,False
54,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",kerstvakantie,False,d260f3e7-23a8-40da-9919-2322a4b876a0,nl,40d8225c-d4eb-4d78-2eb5-08d80ddd2115,2020-06-11T07:58:31.8552251+00:00,2020-11-30 10:19:56.016627200+00:00,,,False
55,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",museumweek,True,4f3a6e50-0ea9-4950-b8c9-fabaef241dac,nl,be6f3228-9b9a-4991-2eb6-08d80ddd2115,2020-06-11T07:58:43.7528102+00:00,2020-07-13 14:43:46.618035800+00:00,,,False
56,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",museumkidsweek,True,282d087d-1d87-4751-9ca7-03532fe819eb,nl,ce499b2d-c816-4416-2eb7-08d80ddd2115,2020-06-11T07:58:55.1166464+00:00,2020-07-13 14:43:53.559390+00:00,,,False
57,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",tip voor thuis,False,b9a5d5ce-371a-4fe4-b0dd-36e63853dadf,nl,ca230c83-c188-4e86-2eb8-08d80ddd2115,2020-06-11T07:59:13.6575574+00:00,2020-10-29 09:24:45.398601+00:00,,,False
58,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",natuur,True,301ef385-1d64-4919-b76b-3c805d8c6fed,nl,8b94df28-e330-4e9b-2eb9-08d80ddd2115,2020-06-11T09:35:42.2291256+00:00,2020-07-13 14:44:21.138005900+00:00,,,False
59,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",ruimtevaart,True,4d2c7aee-538f-4b69-9b8f-a141e3325168,nl,fffa3d61-f9ad-4ac3-5c15-08d81425d84e,2020-06-19T07:53:24.8061959+00:00,2020-07-16 08:29:34.947595800+00:00,,,False
60,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",science,True,b913b457-8f90-4968-a71c-a860908722da,en,69f5343c-1694-46b2-e6ec-08d8142829bc,2020-06-19T08:10:00.4214891+00:00,2020-07-13 14:44:42.559815300+00:00,,,False
61,"Museumvereniging.Persistent.Domain.Items.Topic, Museumvereniging.Persistent.Domain",techniek,True,f9c7e23d-d151-4422-954d-bf6b613113f3,nl,69436094-cb7f-45c7-e6ed-08d8142829bc,2020-06-19T08:11:16.7609078+00:00,2020-11-30 10:22:01.315355800+00:00,,,False
