,publicName,translationSetId,rating,architectonic,educative,historic_location,historic_museum,castles,churches,children,art_galleries,art_museum,military,specialty,gardens,science,museumId,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,visual,culture,naval,nature,tech,ethnology,small_museum,zero_four,five_eight,nine_twelve,activity,audiotour,exhibition,lecture,scavenger,library,openair,parking,weelchair,disabled,trainstation,restaurant
18,Kunstvereniging Diepenheim,078fe561-4a1d-4712-b204-11913bdd57b4,33.0,0,0,0,0,0,0,0,1,0,0,0,0,0,9761f538-ccf6-4ed3-b013-08d7f60b9c3e,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
19,Museum Elburg,08bbe151-0fba-4fb5-9844-d5b37ce7a75d,27.0,0,0,0,0,0,0,0,0,1,0,0,0,0,528dd430-c078-4571-b04d-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0
20,NEMO Science Museum,095343bc-bce6-4c73-a7b2-01a75c9b2efa,4.325,0,0,0,0,0,0,1,0,0,0,0,0,0,12e89b79-3052-4bed-b0ba-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1
21,MOW | Museum Westerwolde,09d1c15b-8b4d-41e7-ba67-cb18d29ea95b,158.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0b9db6ba-12ef-4296-b02d-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
22,Museum voor anatomie en pathologie,0aa09155-261b-4190-a561-e593ca877e24,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,bdf7e0f9-c930-4b29-b08b-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
23,Museum Klooster Ter Apel,0ad57b6d-153d-4b84-b5b2-187972c7573f,49.0,0,0,0,0,0,0,0,0,0,0,1,0,0,282345a9-eb91-41be-b068-08d7f60b9c3e,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
24,Interactief Museum Sow to Grow,0b7f86cb-92f7-43ee-9eaf-6aa68a5c38a6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
25,Kamp Westerbork,0c2e2821-f3fd-4403-8b5a-37cb256b76a2,528.0,0,0,1,0,0,0,0,0,0,0,0,0,0,612516d9-27df-46da-afd9-08d7f60b9c3e,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
26,Nationaal Monument Kamp Vught,0c67d1f3-32df-4c8b-9feb-91f707c0ad45,253.0,0,0,0,1,0,0,0,0,0,0,0,0,0,3e7711b2-4a38-453b-b0a0-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,Het Hof van Nederland,0cd34664-4811-49a5-acd5-42fc00200943,127.0,0,0,0,1,0,0,0,0,0,0,0,0,0,8f409b3d-5a88-4712-afdc-08d7f60b9c3e,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,Huis Van Gijn,0d608560-4b41-468a-ab31-11435ddd48b7,272.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0cb089dc-8dad-4bed-aff1-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
29,Museum Speelklok,0d9b11c5-4842-4d97-b105-908bca7c8fa5,846.0,0,0,0,0,0,0,1,0,0,0,0,0,0,c664625c-012c-4fd1-b07e-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0
30,Eye Filmmuseum,0f9fa591-7382-4168-9ce2-c6db21516047,1.232,0,0,0,0,0,0,0,0,0,0,1,0,0,73e2f1c9-04f5-444a-afbd-08d7f60b9c3e,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1
31,Hortus Botanicus Leiden,103c08ab-9e2f-454a-afc7-f1fe8f3e2789,746.0,0,0,0,0,0,0,0,0,0,0,0,1,0,8eb6fb06-3a9e-49cc-afee-08d7f60b9c3e,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
32,"Marres, Huis voor Hedendaagse Kunst",10f92ca9-be97-40d2-b2ad-cb99d5154981,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,5a853232-7374-44a9-b024-08d7f60b9c3e,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
33,Visserijmuseum Breskens,11b71518-57ec-4ec4-ace1-9f24f68e67b9,33.0,0,0,0,0,0,0,0,0,0,0,1,0,0,71fe4aa4-fdd4-4f71-b157-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
34,Stadsmuseum Harderwijk,1259b27a-48fb-48d4-adbb-31329be57921,47.0,0,0,0,0,0,0,0,0,1,0,0,0,0,a35c6472-00b6-4379-b0e4-08d7f60b9c3e,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
35,Stadsmuseum Almelo,12f087dd-5437-491d-8648-49c5483fbeb8,12.0,0,0,0,1,0,0,0,0,0,0,0,0,0,8b00fe35-61ed-4d3f-b0e1-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
36,Het Scheepvaartmuseum,1335f2de-05b0-4351-8cae-1cb1263b3791,3.167,0,0,0,1,0,0,0,0,0,0,0,0,0,6cb25a4d-145a-4295-afe0-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1
37,Nationaal Holocaust Museum,13f31d31-81bc-4d7a-9347-da1fa9ce5e43,138.0,0,0,0,1,0,0,0,0,0,0,0,0,0,f45288ca-3d13-4fa3-b09c-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,De Kuiperij,15521a24-f0fd-49c2-beef-dcfcca62e2e7,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,96eb879c-8cc6-4e7c-b010-08d7f60b9c3e,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
39,Space Expo,15d80092-895b-45cb-aad9-b1b470cfc177,331.0,0,0,0,0,0,0,0,0,0,0,0,0,1,b48da5c3-61be-40bf-b0dc-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1
40,Thermenmuseum,16358f21-8bad-46aa-a146-3d158259b125,133.0,0,0,0,1,0,0,0,0,0,0,0,0,0,22eeb4c6-7519-4190-b146-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
41,Museum Spakenburg,16a516c8-fad4-46a0-a8d8-9137edfe61d6,35.0,0,0,0,1,0,0,0,0,0,0,0,0,0,c0880b2f-2a68-455f-b07d-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
42,MU,170569ce-a7eb-4b0f-b167-2798cf9935a4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,De Nieuwe Kerk,179e0120-23f9-434b-804b-172effcfc85d,1.3130000000000002,0,0,0,0,0,1,0,0,0,0,0,0,0,d23df516-fb2d-4ba2-b0a7-08d7f60b9c3e,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,Slot Zuylen,17aed04d-9186-4452-b263-0de3dfe7f6f2,107.0,0,0,0,0,1,0,0,0,0,0,0,0,0,845d03e8-013e-4c05-b0da-08d7f60b9c3e,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,Museum Hoeksche Waard,17b0f25b-2ddc-4d69-bccc-5f1ce4ffe980,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,9a655673-e8d1-4095-b05f-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
46,De Mesdag Collectie,17e7443b-50f2-4ecb-96cb-eda6262c5f8e,130.0,0,0,0,0,0,0,0,0,1,0,0,0,0,9aab9dd5-41da-4331-afb1-08d7f60b9c3e,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
47,Museum Flehite,17ffe260-ca22-426a-90fe-ac683c7d0590,140.0,0,0,0,1,0,0,0,0,0,0,0,0,0,ab0d0ab0-3780-46ca-b04e-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
48,Peter van den Braken Centrum,18042a94-ee8f-4a6c-8a79-50990a587ea8,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,544ca969-72d4-48ac-b0cb-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
49,Streekmuseum Stevensweert Ohé en Laak,193dc16d-1fde-4322-ae08-be7e34a96866,43.0,0,0,0,1,0,0,0,0,0,0,0,0,0,2aea9417-36ed-492e-b13f-08d7f60b9c3e,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
50,Landbouw-Juttersmuseum 'Swartwoude',19c6eb6a-fbd4-4bf3-a55c-72dd68d0fbe8,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,2df490b0-68d4-4b79-b014-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
51,Cultuur-Historisch Museum Sorgdrager,1a83a1bc-0197-47b7-881a-9b9c03f11729,25.0,0,0,0,1,0,0,0,0,0,0,0,0,0,955caecf-a661-4809-afa8-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
52,Buitenplaats Kasteel Wijlre,1a918684-33d5-485a-80b7-90a8086803ef,15.0,0,0,0,0,0,0,0,1,0,0,0,0,0,d1f2b453-da0d-4398-b0f2-08d7f60b9c3e,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0
53,Museum Engelandvaarders,1b3b1310-8ca3-4521-a982-3a74ac2d4f74,59.0,0,0,0,1,0,0,0,0,0,0,0,0,0,83686a00-65cb-4651-b170-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Voerman Museum Hattem,1bda7306-d2d7-433e-949e-decac56fbd79,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
55,Agrarisch Museum Westerhem,1c731866-d25c-489a-b1ea-1e04a1cca554,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,38612c20-29d2-4905-af8d-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
56,Kröller-Müller Museum,1cd860b3-d35f-479d-9768-349702c3bc73,1.709,0,0,0,0,0,0,0,0,0,0,1,0,0,9dd9bf1e-3a11-4652-b110-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
57,Pieter Vermeulen Museum,1cf7d97e-57d6-4550-be98-8d19ea5ac3a5,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,ae556dfd-7719-4e40-b129-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0
58,Continium discovery center,1d9c7610-ab17-4f68-ae48-9cefefc32b20,158.0,0,0,0,0,0,0,0,0,0,0,0,0,1,bbd3a202-047a-4fd3-afb5-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1
59,Nederlands Volksbuurtmuseum,1dac022f-fc4a-4f0b-91b8-87333f38c304,62.0,0,0,0,0,0,0,0,0,0,0,1,0,0,720bdc31-201f-41d8-b127-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,Literatuurmuseum,1de93dee-f6b5-4a1c-8d7f-e896df26a694,16.0,0,1,0,0,0,0,0,0,0,0,0,0,0,f9dbcb22-38d6-4af4-b019-08d7f60b9c3e,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
61,Gelders Geologisch Museum,1e0cce9a-388c-4c99-b2c6-654ad23574aa,794.0,0,0,0,0,0,0,0,0,0,0,0,0,1,53ddcd73-c21c-438d-afca-08d7f60b9c3e,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
62,Stoomtrein Katwijk Leiden,1e1dc984-631c-4c66-9ca3-b5b982fdff51,27.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0b4f09b0-a5cd-484c-b138-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
63,Museum Broeker Veiling,1e31f2d0-18a7-4d98-8d06-beb96ecbcd17,145.0,0,0,0,0,0,0,0,0,0,0,1,0,0,4dcc346b-9504-42f8-b036-08d7f60b9c3e,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
64,Natuurhistorisch Museum Maastricht,1e3a00ee-337e-4cc0-9688-782f4021eb94,149.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11297b14-82b5-4206-b0ab-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
65,Hunebedcentrum,1e3aaa11-c04f-43bd-9707-58401ee41056,315.0,0,0,1,0,0,0,0,0,0,0,0,0,0,f0d6e240-babb-486a-aff5-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0
