,publicName,translationSetId,small_museum,visual,culture,naval,nature,tech,ethnology,architectonic,educative,art_museum,historic_museum,science,military,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,art_galleries,historic_location,castles,churches,children,gardens,audiotour,exhibition,lecture,scavenger,library,openair,parking,weelchair,disabled,trainstation,restaurant
24,Interactief Museum Sow to Grow,0b7f86cb-92f7-43ee-9eaf-6aa68a5c38a6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
25,Kamp Westerbork,0c2e2821-f3fd-4403-8b5a-37cb256b76a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
26,Nationaal Monument Kamp Vught,0c67d1f3-32df-4c8b-9feb-91f707c0ad45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Het Hof van Nederland,0cd34664-4811-49a5-acd5-42fc00200943,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,Huis Van Gijn,0d608560-4b41-468a-ab31-11435ddd48b7,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
29,Museum Speelklok,0d9b11c5-4842-4d97-b105-908bca7c8fa5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0
30,Eye Filmmuseum,0f9fa591-7382-4168-9ce2-c6db21516047,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
31,Hortus Botanicus Leiden,103c08ab-9e2f-454a-afc7-f1fe8f3e2789,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
32,"Marres, Huis voor Hedendaagse Kunst",10f92ca9-be97-40d2-b2ad-cb99d5154981,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
33,Visserijmuseum Breskens,11b71518-57ec-4ec4-ace1-9f24f68e67b9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
34,Stadsmuseum Harderwijk,1259b27a-48fb-48d4-adbb-31329be57921,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
35,Stadsmuseum Almelo,12f087dd-5437-491d-8648-49c5483fbeb8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
36,Het Scheepvaartmuseum,1335f2de-05b0-4351-8cae-1cb1263b3791,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1
37,Nationaal Holocaust Museum,13f31d31-81bc-4d7a-9347-da1fa9ce5e43,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,De Kuiperij,15521a24-f0fd-49c2-beef-dcfcca62e2e7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
39,Space Expo,15d80092-895b-45cb-aad9-b1b470cfc177,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
40,Thermenmuseum,16358f21-8bad-46aa-a146-3d158259b125,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
41,Museum Spakenburg,16a516c8-fad4-46a0-a8d8-9137edfe61d6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
42,MU,170569ce-a7eb-4b0f-b167-2798cf9935a4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,De Nieuwe Kerk,179e0120-23f9-434b-804b-172effcfc85d,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
44,Slot Zuylen,17aed04d-9186-4452-b263-0de3dfe7f6f2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,Museum Hoeksche Waard,17b0f25b-2ddc-4d69-bccc-5f1ce4ffe980,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
46,De Mesdag Collectie,17e7443b-50f2-4ecb-96cb-eda6262c5f8e,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
47,Museum Flehite,17ffe260-ca22-426a-90fe-ac683c7d0590,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
48,Peter van den Braken Centrum,18042a94-ee8f-4a6c-8a79-50990a587ea8,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
49,Streekmuseum Stevensweert Ohé en Laak,193dc16d-1fde-4322-ae08-be7e34a96866,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
50,Landbouw-Juttersmuseum 'Swartwoude',19c6eb6a-fbd4-4bf3-a55c-72dd68d0fbe8,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
51,Cultuur-Historisch Museum Sorgdrager,1a83a1bc-0197-47b7-881a-9b9c03f11729,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
52,Buitenplaats Kasteel Wijlre,1a918684-33d5-485a-80b7-90a8086803ef,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
53,Museum Engelandvaarders,1b3b1310-8ca3-4521-a982-3a74ac2d4f74,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Voerman Museum Hattem,1bda7306-d2d7-433e-949e-decac56fbd79,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
55,Agrarisch Museum Westerhem,1c731866-d25c-489a-b1ea-1e04a1cca554,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
56,Kröller-Müller Museum,1cd860b3-d35f-479d-9768-349702c3bc73,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
57,Pieter Vermeulen Museum,1cf7d97e-57d6-4550-be98-8d19ea5ac3a5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
58,Continium discovery center,1d9c7610-ab17-4f68-ae48-9cefefc32b20,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1
59,Nederlands Volksbuurtmuseum,1dac022f-fc4a-4f0b-91b8-87333f38c304,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,Literatuurmuseum,1de93dee-f6b5-4a1c-8d7f-e896df26a694,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
61,Gelders Geologisch Museum,1e0cce9a-388c-4c99-b2c6-654ad23574aa,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
62,Stoomtrein Katwijk Leiden,1e1dc984-631c-4c66-9ca3-b5b982fdff51,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
63,Museum Broeker Veiling,1e31f2d0-18a7-4d98-8d06-beb96ecbcd17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
64,Natuurhistorisch Museum Maastricht,1e3a00ee-337e-4cc0-9688-782f4021eb94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
65,Hunebedcentrum,1e3aaa11-c04f-43bd-9707-58401ee41056,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
66,De Halve Maen,1f01f088-0457-4040-af17-9d1a561bdb5e,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67,Touwmuseum 'De Baanschuur',1f6ef423-bb3e-44e9-b94b-46a0d123b2d4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
68,Hermitage Amsterdam,1f85673a-ba18-4aaf-821a-baf56c7efea7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
69,Rijksmuseum Muiderslot,1f8bb764-3a9f-4159-b775-829e80c953a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
70,Museum Buurt Spoorweg,20628449-0dbc-4438-ba1f-39e07e250549,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
71,Fries Verzetsmuseum,209fe943-8c16-4342-888c-d752adc50e82,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
72,Oorlogsmuseum Overloon,20dd4b53-05a1-4fd1-9ff7-4d936ac4afee,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
73,Het Nederlands Vestingmuseum,22e6f305-c108-4045-839d-ff2f685eea26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
74,Nationaal Sleepvaart Museum,2315fd34-5472-443f-a6ee-29751ccc8a51,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
75,Nationaal Onderduikmuseum,23eaf7fc-a6ca-40a3-87c5-257dca174595,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
