Honig Breethuis
Stedelijk Museum Amsterdam
Museum de Kantfabriek
Stedelijk Museum Alkmaar
De Nieuwe Kerk
Museum Staphorst
Nationaal Onderduikmuseum
Museum De Waag
Universiteitsmuseum Groningen
Rijksmuseum Amsterdam
